Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-15,10:58:18,12:35:28,01:37:10,01:41:03,29,1,13.72,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-15,13:03:58,14:36:45,01:32:47,00:28:30,12,1,15.05,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-15,15:23:27,17:21:26,01:57:59,00:46:42,36,1,15.77,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-15,17:38:30,19:14:51,01:36:21,00:17:04,47,1,13.23,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-15,19:22:08,20:55:05,01:32:57,00:07:17,38,1,13.34,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-15,Vehiculo: 02,,,09:52:40,04:27:20,219,"7,00",88.55,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-16,06:01:13,08:03:35,02:02:22,00:00:00,53,1,15.35,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-16,08:40:24,10:36:58,01:56:34,00:36:49,21,1,16.33,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-16,10:47:54,12:57:10,02:09:16,00:10:56,42,1,15.57,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-16,14:19:15,16:13:39,01:54:24,01:22:05,28,1,15.19,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-16,16:13:39,18:12:31,01:58:52,00:00:00,44,1,13.04,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-16,18:24:22,19:59:55,01:35:33,00:11:51,36,1,11.01,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-16,Vehiculo: 02,,,11:37:01,02:21:41,224,"6,00",86.49,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-17,05:36:35,07:18:21,01:41:46,00:00:00,39,1,16.21,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-17,07:48:07,09:41:16,01:53:09,00:29:46,69,1,15.64,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-17,10:13:48,12:07:05,01:53:17,00:32:32,17,1,15.68,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-17,12:48:42,15:01:39,02:12:57,00:41:37,46,1,13,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-17,15:25:25,17:41:47,02:16:22,00:23:46,47,1,16.68,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-17,17:41:47,19:52:09,02:10:22,00:00:00,39,1,14.72,85 1 HONDA - ORIENTAL - HONDA,Ver
Fecha: 2024-07-17,Vehiculo: 02,,,12:07:53,02:07:41,257,"6,00",91.93,,
,,,,,,,,,,
Vehiculo,Fecha,Hora salida,Hora Final,Tiempo Viaje,Tiempo Muerto,Pasaj,Viaje,Kms,Ruta,
02,2024-07-18,06:05:52,08:20:10,02:14:18,00:00:00,51,1,15.99,85 4 HONDA - MINORISTA - HONDA,Ver
02,2024-07-18,09:11:44,10:00:20,00:48:36,00:51:34,24,1,6.58,85 1 HONDA - ORIENTAL - HONDA,Ver
02,2024-07-18,11:35:21,13:44:15,02:08:54,01:35:01,61,1,15.17,85 1 HONDA - ORIENTAL - HONDA,Ver
